Year,CPI Value
1990,6.46
1991,11.42
1992,16.68
1993,22.85
1994,30.38
1995,38.88
1996,46.57
1997,53.52
1998,59.72
1999,64
2000,70.33
2001,74.14
2002,75.55
2003,76.06
2004,78.64
2005,80.35
2006,81.39
2007,83.39
2008,86.86
2009,90.16
2010,92.48
2011,96.4
2012,99.84
2013,100.83
2014,100.88
2015,100
2016,99.34
2017,101.4
2018,103.24
2019,105.54
2020,109.1
2021,114.61
2022,131.15
