Year,CPI Value
1993,44.42
1994,55.19
1995,64.46
1996,69.82
1997,71.77
1998,71.21
1999,70.21
2000,70.46
2001,70.96
2002,70.44
2003,71.24
2004,73.96
2005,75.28
2006,76.52
2007,80.2
2008,84.96
2009,84.34
2010,87.02
2011,91.85
2012,94.25
2013,96.72
2014,98.58
2015,100
2016,102
2017,103.63
2018,105.78
2019,108.84
2020,111.48
2021,112.57
2022,114.79
