Year,CPI Value
1996,67.62
1997,67.66
1998,67.41
1999,66.51
2000,65.76
2001,65.03
2002,65.19
2003,65.59
2004,65.92
2005,66.24
2006,67.7
2007,70.53
2008,77.49
2009,81.41
2010,85.75
2011,90.75
2012,93.35
2013,96.65
2014,98.81
2015,100
2016,102.07
2017,101.21
2018,103.7
2019,101.53
2020,105.03
2021,108.25
2022,110.92
