Year,CPI Value
1993,0.34
1994,1.4
1995,4.18
1996,6.17
1997,7.09
1998,9.05
1999,16.8
2000,20.3
2001,24.66
2002,28.55
2003,32.45
2004,35.99
2005,40.55
2006,44.47
2007,48.48
2008,55.32
2009,61.76
2010,65.99
2011,71.56
2012,75.2
2013,80.27
2014,86.55
2015,100
2016,107.04
2017,110.99
2018,114.18
2019,119.28
2020,123.32
2021,131.57
